Nimi,Riiklikud Maksud,Tööjõumaksud ja maksed,Käive,Töötajaid
SEVEN TEHNIKA OÜ,36982,10258,277777,1
KPR SPEDITION OÜ,36961,1941,1569428,5
KOSU GROUP OÜ,36952,37328,753610,17
FORCE ARENDUS OÜ,36943,27104,151995,24
ANTES SALES OÜ,36940,23268,220539,13
ADVANTIS GRUPP OÜ,36937,22627,98604,11
INFOONE FINLAND & EASTERN EUROPE OÜ,36935,38512,200141,21
OÜ SAARE TRADE,36922,16104,1011834,7
VÄNDRA TARE AS,36912,24353,249900,24
GEENIUS MEEDIA OÜ,36911,21727,150992,7
INNORE OÜ,36902,23013,299270,15
SENSUS ETC OÜ,36901,33719,24369,22
SR VEOD OÜ,36877,19236,294676,15
BUDOPUNKT OÜ,36873,8205,220426,13
ADVOKAADIBÜROO CONCORDIA OÜ,36869,18399,144860,6
REMONDIMEES OÜ,36840,28008,690890,17
SCORP CAPITAL OÜ,36840,13184,355441,18
ARPA OÜ,36823,14093,746979,7
MADIS AJAOTS,36815,5929,173043,2
HORECA GRUPP OÜ,36791,29648,106535,16
MODULE PIPES OÜ,36789,21236,632230,20
PALMEKS OÜ,36789,3926,344232,6
TALOVEST OÜ,36788,16251,230069,14
PREMIUM REHVID AS,36785,14084,152533,5
BIOTEHNIK OÜ,36754,4927,271749,5
VANA-VIRU VV OÜ,36751,16354,2195527,6
TREVOR AUTO OÜ,36738,13202,197744,10
EUROCHEM OÜ,36723,582,293140,1
VOLTA ENERGEETIKA OÜ,36704,14426,216256,10
MARKUS SOFTWARE OÜ,36694,13506,285041,3
A.T.LINKS OÜ,36686,1646,167846,3
MENPLUSS EESTI OÜ,36673,16344,238032,15
ANDRUSE HULGIKAUBANDUSE OÜ,36663,24334,146518,14
PUUMEDI GROUP OÜ,36650,37435,449906,14
NORDAMUS OÜ,36638,1785,455518,3
REMPFAST OÜ,36632,13299,229014,7
TANI TALU OÜ,36622,11948,295102,3
AIRVITAMIN GRUPP OÜ,36614,6503,390764,4
REVOKS GRUPP OÜ,36612,14671,273162,11
FENNICA KÖÖGI OSAÜHING,36606,2138,199387,2
VITA-EHITUS OÜ,36606,8821,251252,15
VEOPARTNER OÜ,36601,14051,184799,13
FEUDI WINE BAR OÜ,36601,3106,128317,7
JL CAPITAL OÜ,36594,108,233991,1
OÜ KEREEKSPERT,36591,19125,157471,12
NAMESPACE OÜ,36588,17916,122053,4
TARTU KATUSEEHITUS OÜ,36572,21255,246047,12
SRG EHITUS OÜ,36564,5816,160551,5
BALTIC MARINE FLOORING OÜ,36559,40303,2322,20
REDWOOD OÜ,36538,12964,237465,12
GPB VENTILATSIOON OÜ,36533,15313,228630,16
MR VAADER OÜ,36531,22023,206785,14
E.R.O. EHITUS OÜ,36528,24726,385295,17
RIME KINNISVARA AS,36518,22056,110211,6
RAINERT RL OÜ,36498,9436,607186,13
PALMGRUPP OÜ,36496,2202,243905,5
1OFFICE OÜ,36495,33110,119105,10
DM HARBOUR CAPITAL OÜ,36480,27159,93500,2
T-ELEMENTTI OÜ,36477,39442,132992,14
KROONIPUU OÜ,36471,50235,1262826,42
ANDILAID OÜ,36461,19664,291309,28
DOMUM OÜ,36454,4232,1273848,2
EXAN AS,36442,9075,287836,6
KLF-ERI OÜ,36431,3339,319054,5
SMARTCUSTOM OÜ,36413,1820,335565,2
JENS GRUPP OÜ,36406,4544,54729,1
STARLETT OÜ,36400,6059,399100,5
CUTRICO HAIR OÜ,36400,11745,259354,7
EPOEXPERT OÜ,36387,23173,130882,10
GAMMA BALTIC OÜ,36384,7060,298178,4
MISSING LINK OÜ,36383,33264,476925,2
SEASON CAFFEE OÜ,36375,24243,159247,21
SAARE AUTEX OÜ,36375,23020,244377,12
PÕLVA TEHNIKA METALLITÖÖD OÜ,36372,35629,443511,32
ALMITEKS OÜ,36357,12046,219057,19
IXELLION OÜ,36351,36218,1600,3
HEISI IT OÜ,36348,20325,126458,6
TAAVI SERV,36330,13521,268028,8
JÄRSI OÜ,36308,16935,182398,11
RESTAN PARTNER OÜ,36304,18153,148723,12
AMEREST OÜ,36303,19498,717920,9
SARLES OÜ,36300,12398,472351,8
ASPER BIOGENE OÜ,36296,29854,136740,17
AHJA MOODULAHI OÜ,36289,20806,179744,10
ASG ROBOTICS OÜ,36284,36831,66437,14
SOOME TERVISETOOTED OÜ,36278,12825,461202,3
KLIP MARINE SHIPMANAGEMENT OÜ,36278,35252,225078,12
AZELTA PROJEKT OÜ,36275,10347,787058,7
GEROMINT OÜ,36260,10689,321556,10
PROREXOIL OÜ,36249,9075,276344,5
MAJAVARA HALDUS OÜ,36249,18794,239997,26
ILVETA OÜ,36248,20478,206369,15
ESKOLAR OÜ,36243,12951,342413,13
ÕISMÄE HALJASTUS OÜ,36236,18020,188651,19
ACE LOGISTICS GROUP AS,36219,31603,84265,5
POLINORD OÜ,36218,13537,447324,18
SANKOTRANS AS,36212,19050,105938,16
HN STEEL OÜ,36212,26625,190860,9
LOO VESI OÜ,36192,23727,256697,20
OSAÜHING FORSTAL,36183,18826,335307,12
MAINEGRUPP OÜ,36169,32181,132294,17
DIGITAL GROUP OÜ,36168,13069,168968,5
AIVI KUUTOK,36161,9539,224209,6
R.S. EHITUS OÜ,36155,18257,167733,11
VARMATA AS,36137,6478,197142,4
INTELLIGENTNE GRUPP OÜ,36128,11754,152435,9
LAPI MT AS,36118,92816,1389673,49
OÜ ELEKTRITÖÖDE ETTEVÕTE AIA,36115,22121,286310,12
SILVETEKS OÜ,36109,13543,166503,10
ALTMER OÜ,36106,19061,782941,14
KIVIKARU OÜ,36097,10378,213700,8
EINMIX OÜ,36093,18374,178973,16
THEK AUTOMAATIKA OÜ,36086,5694,305112,2
PROCARD BALTIC OÜ,36065,11538,223621,7
VOLARI BETOONITÖÖD OÜ,36041,37130,349750,19
CRYSTALSOL OÜ,36031,38689,255776,16
OKS TRADING OÜ,36021,13329,163743,8
ESTONIAN LABEL HOUSE OÜ,36019,27103,500742,18
NOMINE CONSULT OÜ,36006,24153,88306,13
INVERSION SOFTWARE OÜ,36004,10903,228498,2
BALTIC SHOWROOM OÜ,36000,561,304600,1
STONETOP OÜ,35997,10192,264259,8
OSAÜHING SETRA MÕIS,35989,20366,176015,10
CUBANITA OÜ,35981,18832,215070,24
ERTAK GRUPP OÜ,35974,2441,190822,2
BENEX BALTIC OÜ,35967,4741,336528,4
ABIX-TEENINDUSE OÜ,35964,21555,275215,17
LEHOLA VARAHALDUS OÜ,35963,7124,194726,11
SENDSMAILY OÜ,35927,23446,137820,6
MONETTA OÜ,35921,12187,272737,12
IBM EESTI OÜ,35917,21189,270341,6
NAILSTAR OÜ,35907,28825,83500,44
HT MOTORS BALTIC OÜ,35907,5400,614624,7
GOTA SHIPPING OÜ,35907,37597,140894,10
TEATER OÜ,35905,1337,309752,1
INTOPEX FORWARD OÜ,35900,33814,3107663,13
RAKTOOM AS,35895,33135,193304,15
FRESH-EST KLIIMA OÜ,35893,14010,234844,10
JÄRVEOTSA VUTIFARM OÜ,35888,20098,173772,18
ARGO MÖÖBEL OÜ,35887,33615,232133,24
DERMOSHOP OÜ,35884,10128,250699,4
RPS ESTONIA OÜ,35877,38297,102079,7
KURESSAARE AUTOTEENINDUS AS,35868,24526,622043,9
EST-CARTON OÜ,35862,3104,459372,2
OÜ KINNISVARAEKSPERT PÄRNU,35849,23220,116379,13
MEVOT INVEST OÜ,35840,13857,186187,11
HJH VEOD OÜ,35811,26736,501051,28
TARTU TOIDUVEOD AS,35786,25794,144462,21
EHITISTE VIIMISTLUS OÜ,35775,23394,224738,19
ESPAK RAKVERE AS,35768,17420,441401,11
BERGLAND OÜ,35768,1258,831274,1
STARK EHITUS OÜ,35763,15896,995134,6
HANSARENT OÜ,35760,38558,683303,12
MONOBET OÜ,35744,13842,319303,10
POLTRA OÜ,35735,16612,109817,4
OÜ WORLDLINE PAYMENT ESTONIA,35725,10648,450660,5
DREAMLAND HOME OÜ,35724,14914,267764,15
V.A.O. INVEST AS,35714,6988,72468,4
CLUB HOLLYWOOD OÜ,35711,15674,533205,7
GALLUM KOMMERTS OÜ,35707,16927,124650,1
VRK TRANSPORDITEENUSED OÜ,35706,24018,161954,11
JÕHVI APTEEK OÜ,35705,26972,573952,10
HAJA AUTOKOOLI OÜ,35704,13255,149360,22
PEPEKALA OÜ,35703,5464,379418,7
OÜ RESTMART EHITUS,35703,19042,500520,18
SATURN INVESTMENTS OÜ,35703,8264,146891,3
GRECO JLT SPECIALTY GMBH EESTI FILIAAL,35683,36631,1927,5
SAVELTRON OÜ,35669,9145,234307,6
AIKKON EST OÜ,35661,19820,201136,14
SOFTREFLECTOR OÜ,35658,36551,810562,45
AIKE OÜ,35641,8265,287899,4
SERITEK OÜ,35632,10708,292491,6
GETAMA OÜ,35613,2349,314924,2
HANSAKIVI OÜ,35613,16574,402459,12
AVOVIL OÜ,35606,22017,204952,12
CROWN CRO OÜ,35582,39109,434018,22
KMA OÜ,35581,23856,84975,7
VEOKIIRUS OÜ,35565,12031,177605,15
KONESKO AUTOTARVIK OÜ,35559,36705,449415,18
RAUNDER TRM OÜ,35554,18887,160126,23
ASSAR OÜ,35544,18059,193156,10
NEWTON MARKETING OÜ,35542,26562,178632,10
RESSAKS AS,35534,4289,163962,4
TM SERVICE OÜ,35515,24388,185871,12
PIECE OF CAKE OÜ,35511,35923,192098,1
OSAÜHING RENEWO,35509,1622,94233,3
TESTREEL OÜ,35495,24266,93154,8
FINEMANG OÜ,35493,32986,130018,21
SIKKA OÜ,35484,1590,51148,1
ESTOFLOORS OÜ,35477,39668,891,10
PKF ESTONIA OÜ,35457,24059,75754,12
BASIILIK OÜ,35456,25114,176286,24
AUTOKS TC OÜ,35455,17739,163933,8
VÕRU KANNEL SIHTASUTUS,35442,35035,48184,47
NEVSKAYA PALITRA - HAMMOND OÜ,35442,31167,800546,28
METS&MASIN OÜ,35442,5172,278491,4
VMV HULGI AS,35438,20019,627086,35
INCAP ELECTRONICS ESTONIA OÜ,35428,132354,5330355,67
METRICUS OÜ,35421,14203,158605,10
TERRAX AS,35404,19110,265280,13
ARK TRANSPORT OÜ,35397,10345,252828,15
RAND & TUULBERG GRUPP AS,35390,18219,110090,5
VALORDANTO OÜ,35384,5256,336998,5
PERLUX OÜ,35384,25933,115666,10
PRAKTOV OÜ,35369,9571,233647,6
CHIPMILL OÜ,35360,19051,508081,6
KURMET AS,35360,17933,228978,15
IC TARTU OÜ,35355,17428,125832,13
BÕSTROFF OÜ,35348,5724,146129,4
PALLADA GRUPP OÜ,35347,13070,205382,14
SKYTRACK OÜ,35346,720,344291,1
VALLASTE JA PARTNERID OÜ,35324,24514,114905,8
FROST FX OÜ,35321,18973,228737,10
ÜHISTU EESTI LIHATÖÖSTUS,35321,32876,383059,32
RE KINNISVARA AS,35316,16769,276096,21
INITEC OÜ,35316,7521,163818,3
CUMULUS CONSULTING OÜ,35311,11255,116341,3
KE ELEKT OÜ,35305,12848,189815,4
ARULA VEOD OÜ,35301,21347,328992,8
VIKAN ESTONIA AS,35291,35894,544064,32
AMETIKOOLITUS OÜ,35284,12340,196628,6
MEREC-TÖÖSTUSE OÜ,35284,17061,127414,7
TEHNOTOP OÜ,35262,15500,127200,12
MRF VOOL OÜ,35261,16086,202504,5
NAKA SERVICE OÜ,35256,25637,82040,14
GUTMAN HOLDING OÜ,35254,11120,191802,15
ESTIL ELECTRONICS OÜ,35251,7547,390670,4
ALU ÕMBLUS OÜ,35248,30121,99361,33
KREENHOLMI MANUFAKTUUR OÜ,35238,37887,1409415,35
PETKAM REALTY OÜ,35222,19947,212838,15
SCANDICTEX OÜ,35220,9693,427310,6
"AB ""ARCHYVU SISTEMOS"" EESTI FILIAAL",35218,14450,191232,14
ROCKMEEDIUM OÜ,35210,21879,210791,21
PALMAR OÜ,35210,6361,145320,7
I.S.I. BALTIC INC. EESTI FILIAAL,35209,36307,103933,8
KADOK OÜ,35204,2994,172260,2
PAGARIKOJAD OÜ,35200,24758,130417,19
EXPERT BALTIC OÜ,35198,21785,146881,10
EL- SOLUTION OÜ,35181,18663,150420,13
KORUND OÜ,35175,20305,188926,14
CEZAR EESTI OÜ,35145,16305,405433,21
DIAMONDTEC OÜ,35135,14406,245673,5
MARIENTHALI KLIINIK OÜ,35125,37731,78472,34
BITAKCO EHITUS OÜ,35123,16542,211642,15
UPK TRADE OÜ,35122,21516,158631,5
AN TEHNIKA OÜ,35121,561,312229,1
EXECUTIVE LAB SEARCH OÜ,35121,3719,99666,2
JÄÄTMETE SORTEERIMISKESKUS OÜ,35112,11432,291306,19
THAI ORCHID SPA OÜ,35093,21706,100174,16
SAMTEC OÜ,35067,9152,462178,6
DELLERA KAUBANDUS OÜ,35054,6557,303314,7
DOS2000 OÜ,35050,9910,378151,4
PROCURA & TRUSTEES OÜ,35045,9244,1184347,4
DECTONA OÜ,35027,8461,288036,5
ÖSTERVALL INTERNATIONAL TRANSPORTS OÜ,35026,37666,338494,17
REBELLIS OÜ,35025,9990,128191,6
MÄEMÕISA OÜ,35024,8317,194549,5
OPTIUM GRUPP OÜ,35015,27286,146897,28
BIGBEN OÜ,35015,25130,174320,29
PÕHJA EESTI EHITUS OÜ,35000,14340,133433,20
OSAÜHING ARCO METAL,34993,19261,161290,8
PUHAS OÜ,34992,20236,126964,25
ODP EESTI OÜ,34985,1596,392148,6
SCANDINAVIAN CLINICS ESTONIA OÜ,34982,37247,374335,12
RONARTA OÜ,34977,38438,172565,26
RAISTEL OÜ,34951,13693,314532,14
KUUSK OÜ,34944,14802,449301,5
PRASS VALGUS OÜ,34932,12497,227922,6
ELEKTROTHERM OÜ,34920,19051,53336,8
TRANSWAY OÜ,34916,16063,1101265,8
LÄÄNEKIVI OÜ,34913,10962,329234,15
TAIVOSTER BALTIC OÜ,34892,7602,547221,10
VERKUR OÜ,34883,16552,164932,20
TOIDUAKADEEMIA OÜ,34879,13683,194269,24
OR LOGISTICS OÜ,34878,819,64408,1
JALAPAI OÜ,34870,20204,84608,16
CHOCOSTICK OÜ,34869,22627,142585,16
ROMAN TAVAST OÜ,34869,22806,181879,15
BPK SISUSTUS OÜ,34865,7858,346188,4
SAARE YACHTS OÜ,34860,38131,157883,31
PWS OÜ,34858,7667,284878,3
MEELIS POHLAK,34855,3687,237282,2
MK KAMION OÜ,34843,13430,4153197,7
ALBERT EHITUS OÜ,34843,21805,280558,9
PÕLLUVARA AS,34842,4338,49993,4
HOTEL MANAGEMENT SERVICES OÜ,34830,36993,418432,27
OÜ MEDITRIALS,34829,23082,132307,10
HEKAL GRUPP OÜ,34815,38450,24366,15
ESMETA AS,34789,6047,239683,8
NEVERCODE OÜ,34782,37099,49662,18
TAFUTIK OÜ,34782,18884,207550,12
AVANTIRENT OÜ,34780,18231,204550,8
VÄIKE TÕNN OÜ,34769,17827,207459,17
RAREX EHITUS OÜ,34765,26250,593423,14
KEDOKA OÜ,34763,5045,198379,8
OSAÜHING INVICTA,34756,13156,193109,5
AIRI PÄRNASTE,34733,14038,183432,5
VALI PRESS OÜ,34727,21227,150258,13
PROMTEHNIKA OÜ,34724,23552,71162,27
TENDER EHITUS OÜ,34720,29254,179335,10
WOLF HOTEL OÜ,34709,36267,404020,28
FAABULA AS,34695,45047,1067473,45
FREECO OÜ,34681,29273,126578,14
JOSPEL OÜ,34679,19472,210933,7
RAM BUILDER OÜ,34672,6656,218653,8
FOSGRAFE OÜ,34670,1773,352613,3
OMNIREM OÜ,34667,19109,127151,14
OMD OÜ,34661,12452,364594,6
PUNAMOON OÜ,34661,19401,95857,10
SOLROD OÜ,34660,14925,246895,7
PAKAR AS,34657,24963,181402,16
BFS OÜ,34647,13358,587799,3
PUR-ESTONIA OÜ,34647,37772,246519,28
ADERIC TEENUSED OÜ,34642,26970,84167,8
MRPEASY OÜ,34642,34086,178159,6
SKIVERS HIDES AS,34631,16333,542529,14
ARO LOGISTIK OÜ,34629,6484,163749,9
POLAREST GRUPP OÜ,34614,13766,194315,25
DEIMEKS OÜ,34604,36538,841364,11
NORDIC PLAST OÜ,34591,52860,541279,23
SCHOTTER AS,34590,9333,192426,8
MIRONTEK OÜ,34588,31707,15648,5
OÜ VAMOS AUTOMAATIKA,34581,18906,161141,8
DESSERT AS,34574,18406,327300,14
AKTSIASELTS LEMEKS VIRU,34573,7759,317282,2
ARE TREPID OÜ,34564,17760,211368,9
NORDIC SALES OÜ,34545,35886,750196,13
VEVONE OÜ,34540,8636,152643,7
TAA TALU OÜ,34540,17727,410436,13
E4STEEL OÜ,34534,20773,489325,9
NOVAFOREST OÜ,34532,20309,139830,11
RED FUNCTION OÜ,34524,19915,81004,6
RANNANIIDU OÜ,34519,29677,66370,10
OSAÜHING EFIPA,34510,13590,424796,9
DAIRYTEC OÜ,34502,17288,474088,9
DEWIN COMPANY OÜ,34497,22396,67188,10
LATIKAS OÜ,34481,18355,321221,27
GIRALDO OÜ,34472,10390,741153,10
EUROTREND OÜ,34460,37612,408404,53
KPG AS,34455,7900,146045,3
KODUMAJA AS,34443,181191,5469622,55
OÜ RASPER,34420,20215,153783,16
REMKO GRUPP OÜ,34419,14764,84952,11
NAUVITSMAN OÜ,34407,1297,314329,2
PUKAMÕISA OÜ,34399,17999,206357,14
BALTI VIIMISTLUS OÜ,34395,18890,201009,22
GEORGIA INVEST OÜ,34391,14076,163401,8
OÜ TOOME ELEKTER,34386,28325,126544,11
IUNA OÜ,34375,15243,193991,12
EGICO EESTI OÜ,34373,35187,1746,12
VEXER OÜ,34372,14235,292342,6
LAIGOVER OÜ,34356,18886,104731,25
CARS.EE OÜ,34356,3291,444979,4
FERCRAFT OÜ,34354,21117,257965,13
LDIAMON AS,34345,35799,484191,13
EDRINKS OÜ,34339,23730,485559,14
MAZAM OÜ,34339,8526,298896,7
LAANEPUU OÜ,34337,1683,224830,3
BALTI LAOMEISTER OÜ,34332,2557,224196,2
BRENTEX OÜ,34329,33840,771508,17
RAIGISSON OÜ,34328,2262,514426,3
AARE SERVICE OÜ,34307,21160,151379,10
JACLYN OÜ,34273,23594,153454,33
ABEMI LAOTEENUSED OÜ,34262,19377,129595,15
BRANDNOTE OÜ,34260,187,272949,1
ULVI AGRO OÜ,34255,2049,167358,1
GARISSON TRÜKIKODA OÜ,34252,25713,132754,11
NOVIRA EHITUS OÜ,34249,10074,735352,3
ALGERA INFRA OÜ,34247,10289,229547,8
PIT-STOP REHVID OÜ,34235,11437,366820,8
MATSIMOKA OÜ,34233,25891,318800,20
VEGET OÜ,34220,22412,237506,11
KRAVER AS,34219,32138,405166,14
ALBION MOTORS OÜ,34216,13384,750230,24
OK EHITUSTEENUS OÜ,34215,13607,222758,7
SILMAKIRURGIA OÜ,34214,19902,11566,7
BRANDEX OÜ,34213,20496,962976,7
REHVIPROF OÜ,34207,9634,282290,11
M-ROOM BALTIC OÜ,34205,17955,130533,17
EESTI TERMOTEHNIKA AS,34182,32027,317657,16
RUFTER EHITUS OÜ,34175,19436,155292,10
VESKIMÄE AS,34171,25998,231784,13
SAMPOPRO OÜ,34150,36228,237483,11
LAROSSA GRUPP OÜ,34144,8642,340843,13
ISOVENT EHITUS OÜ,34138,22255,252670,11
NURME APTEEK OÜ,34136,16607,678484,13
NANO TURVASÜSTEEMIDE OÜ,34134,19677,142683,10
NELITÄHT OÜ,34125,22760,397354,12
FROST OÜ,34106,22430,150090,9
ATEMIX TÖÖSTUSAUTOMAATIKA OÜ,34097,20578,168741,10
SMAILI & KO OÜ,34094,2938,309299,3
KT BEAMS OÜ,34078,398,344727,1
ERRA AGRO OÜ,34065,9162,172547,9
SIRJE AS,34046,34800,194528,42
PUUAKEN OÜ,34045,16697,124500,6
ARMEER EHITUS OÜ,34028,25564,376778,21
GRANIMAR OÜ,34022,14393,254674,7
KOSE VESI OÜ,33988,17985,278015,12
ESTINWOOD OÜ,33988,1898,389728,1
METETRA OÜ,33980,5309,265534,7
ARBALT OÜ,33973,10969,139172,7
LEMPO MUST,33968,4630,171978,3
AMBIENT MARKETING OÜ,33966,18677,451646,8
PÕHJA METS OÜ,33958,4302,17859,2
AMIKOR TR OÜ,33953,23746,198231,14
VIIMISTLUS JA EHITUS OÜ,33947,26467,320244,21
SINCOTRON OÜ,33945,26104,629200,9
PROFEXPO OÜ,33930,6012,312036,4
CROCUS OÜ,33927,8685,195163,3
DMC EESTI OÜ,33919,35626,257732,99
TAMMELAKS OÜ,33917,17461,167381,10
ALL KAUBANDUSE OÜ,33914,7364,263738,8
RICE&NORI OÜ,33912,14806,289025,25
OÜ KEERUB,33907,17229,104885,69
PESULUX OÜ,33894,12540,229756,19
CUBA FILMS OÜ,33891,32210,453375,4
BALTIMIR GROUP OÜ,33887,9462,253997,11
GOLDSTAR EESTI OÜ,33878,20247,185481,24
EHITUSKAUP OÜ,33872,18579,92241,4
PÄIKESEKOHV OÜ,33870,10642,283649,8
GLOBELINK OÜ,33860,3420,108799,3
LAUER OÜ,33857,15464,519510,7
VIP SHOP OÜ,33857,13254,268162,42
RESTORANI KONSULTATSIOONID OÜ,33839,19605,41007,6
HAMERY OÜ,33831,31729,453136,33
FINTECH OÜ,33828,31599,9103,33
DIWORKS OÜ,33825,21228,125086,12
QUALITY PRINT OÜ,33825,10972,214801,6
CRANFELD INVEST OÜ,33822,11522,105594,3
TEHNORENT OÜ,33818,17564,127243,13
VIIKON OÜ,33792,1728,471652,2
ANDRES KALAMEES,33791,2766,164022,2
ARLE REKLAAM OÜ,33782,18449,138403,11
LEMMIKLOOMATEENUSED OÜ,33776,22522,126651,14
VESKIMEISTER OÜ,33766,14926,679340,10
MIIDURANNA SADAM AS,33763,14178,88803,9
SANTAN TRADING OÜ,33750,7853,163786,4
VIKOS TRADING OÜ,33742,14541,218607,17
FORMET GRUPP OÜ,33732,11864,320833,16
NORES PLASTIC OÜ,33705,26082,165144,11
EESTI JOONISFILM OÜ,33703,35675,17193,20
VALGE KASS OÜ,33697,21934,126811,8
ESTAR EESTI KERGETÖÖSTUSE AS,33691,13380,184345,20
VEEBERI ELEKTRITÖÖDE OÜ,33678,15997,165111,11
SUSI INVEST OÜ,33675,36551,238030,19
TERASTIIM OÜ,33670,27270,215921,20
PERFECTDEAL OÜ,33668,18202,162354,22
CAD-SÜSTEEMIDE OÜ,33668,9400,195222,5
TEKAMER OÜ,33661,15752,286249,9
SUUREMÄE KARJÄÄR OÜ,33655,3744,210950,4
HARVIA ESTONIA OÜ,33647,32001,339248,10
INTOPEX TRANSIT OÜ,33640,14318,294864,25
AVT SERVICE OÜ,33637,21515,144454,22
GLOBALREADER OÜ,33636,23815,130428,11
ONRY OÜ,33620,33342,1406337,25
VESTENMIX OÜ,33613,17473,229262,9
M.I.G. TECHPROM OÜ,33607,20610,608442,9
EB THERM OÜ,33572,4824,278472,4
JEENAR KIOSK OÜ,33571,21442,74749,15
AEROHOOLDUS OÜ,33567,29810,314219,18
FRITTO PLUS OÜ,33563,1617,457139,4
SONMAK GROUP OÜ,33549,36802,73181,19
AGRIGROUP EST OÜ,33533,18095,274462,8
ALLECTO AS,33515,14693,285587,5
SAURON GRUPP OÜ,33509,35821,7675,6
DIGITAL EMOTIONS OÜ,33508,7699,322691,5
GALATHEA OÜ,33492,3960,243576,4
SVG PROJEKT OÜ,33478,21199,161122,14
VIRTEX OÜ,33469,19994,115438,7
BEGORES OÜ,33463,6868,360416,5
BALTI UNIFORM AS,33459,35299,161602,52
WOODKRAFT OÜ,33430,21712,68554,24
HJALMAR MARKETING OÜ,33422,4830,129525,1
ECOFURN PRODUCTION OÜ,33418,24843,236454,16
GIGA INVESTEERINGUD OÜ,33411,8781,138257,5
SKVEOD LOGISTIKA OÜ,33407,14087,217623,1
NEURON SYSTEMS OÜ,33405,9904,229436,6
KOPRA METS OÜ,33403,1445,159107,1
ANTOMIN AS,33396,3814,178221,3
VIRTEL GRUPP OÜ,33389,28736,349859,21
KONTIZ OÜ,33384,16778,259131,24
SILTA EESTI OÜ,33383,36125,146065,14
SALONG MERENEID OÜ,33379,17757,234032,16
KASEORU OÜ,33378,19683,216810,10
KRISKAM OÜ,33375,2080,238732,3
METS JA KOPP OÜ,33373,14488,224831,8
NORGES HUS NOVA OÜ,33357,16575,1159903,10
ERAPUIT AS,33357,56854,1066326,33
PROUD ENGINEERS OÜ,33354,28820,211561,5
OK INTERACTIVE OÜ,33338,27394,81195,8
ANDRONA OÜ,33324,19411,129892,8
KWARTONS OÜ,33316,25869,177295,51
SYS PRINT OÜ,33314,32483,304778,20
EHITUSKORRALDUSE OÜ,33295,10869,149788,5
ESTLOKOM OÜ,33294,4160,409263,4
TARTEKPLUS AS,33268,7783,236646,5
VIISEMAR OÜ,33266,16875,261219,17
ROVICO BÜROO OÜ,33265,7582,159991,4
VILLA THAI OÜ,33263,23189,181938,26
BAUSTELLE OÜ,33248,14457,492665,9
RAMO AS,33247,6521,241389,5
ESTOMET OÜ,33243,25912,461570,22
SCANVIC CHEM OÜ,33241,4205,645618,6
ALMAR OÜ,33236,19021,288540,17
RITM GROUP OÜ,33212,35377,724904,26
ORHIDAALIA OÜ,33205,18392,521088,30
REVALEKSPRESS OÜ,33192,20974,319976,38
SIHTASUTUS EESTI TANTSUAGENTUUR,33190,23276,109957,30
DMA BETOON OÜ,33182,35766,242223,22
AURANDA CENTER OÜ,33179,30022,615702,12
KURESSAARE KOMMUNAALPROJEKT OÜ,33176,25630,73552,14
TEKTRADE BALTIC OÜ,33158,8149,283094,5
EKLIPS DIGITAL ADVISORS ESTONIA OÜ,33155,35830,110439,6
EDICY OÜ,33154,27046,156690,9
LUMIN OÜ,33100,23851,76118,8
ESTCOM GRUPP OÜ,33097,19169,226401,15
GARELA PROJEKT OÜ,33095,540,168368,1
SALIBAR OÜ,33091,15726,187896,10
WEEKDONE OÜ,33087,34877,287658,12
DIGITAL MIND OÜ,33081,10531,305879,2
FERROMETAL BALTIC OÜ,33079,33853,124890,10
GRAND HOTEL VILJANDI AS,33055,28148,171875,28
EESTI LIIKLUSKÄITUMISE ARENDUSKESKUS MITTETULUNDUSÜHING,33055,17651,86857,6
OÜ ASMARI VEOD,33041,9679,234030,7
ORE RESTORAN OÜ,33039,24120,174071,18
ASF SPORTSWEAR OÜ,33029,34924,432563,30
KLM KINNISVARA OÜ,33026,1684,161438,1
TESTONICA LAB OÜ,33026,35618,59354,9
RV-ELEKTER OÜ,33023,20012,200350,19
BERT&BERTA OÜ,33020,18851,94266,101
VENTILATSIOONIHOOLDUS OÜ,33012,16359,239807,7
PURUSTAJA OÜ,33012,29496,91584,5
AKTSIASELTS A.M.F.HULGI,33011,11516,881371,17
NYIMAGE OÜ,33009,35806,458551,20
KOSE EHITUS AS,33008,20646,118571,10
GIAB MACHINING OÜ,33007,35490,518376,26
BAIT PARTNER OÜ,33002,18016,220556,7
KTV OÜ,32988,22169,97498,11
KPME OÜ,32984,318,100030,1
KAARDIEKSPERT OÜ,32971,6860,279549,5
AUDIITORBÜROO FIDES OÜ,32968,18578,60186,9
MARKEND TEAM OÜ,32966,9357,268590,8
MARSALIS ELEMENT OÜ,32951,32298,1755106,33
OSEIBO OÜ,32950,17973,187900,24
HENSEL GRUPP OÜ,32949,8594,220855,4
INVENT EHITUS OÜ,32948,9838,246605,1
TURBA PUUKODA OÜ,32944,31709,113270,15
LADU24 OÜ,32935,8636,359289,4
FILM DISTRIBUTION OÜ,32931,9293,247868,5
AMK GRUPP OÜ,32919,9472,143479,5
OKNAVET OÜ,32912,19593,126094,10
SUJA EHITUS OÜ,32904,19046,229228,13
ASTELMARI OÜ,32899,4621,297923,3
FIXMAN EESTI OÜ,32895,3499,319202,2
OÜ BREM KINNISVARAHALDUS,32891,782,1035868,1
SHOKOBOX OÜ,32889,3411,145596,3
